gene_set,n_recurrent,n_recurrent_in_set,rate_recurrent,n_private,n_private_in_set,rate_private,odds_ratio_crude,p_crude,odds_ratio_adj_detectability,p_adj_detectability,rate_detectability_matched,p_empirical_matched,matched_effective_support,matched_min_stratum,matched_control_reliable
COSMIC_CGC,5434,301,0.055391976444608026,3007,86,0.028599933488526772,1.9917202415741282,6.735254056635814e-09,1.2176089799808678,0.28255726102912315,0.03589105631210894,0.0,40.16047110783953,2.0,False
OncoKB_annotated,5434,454,0.08354803091645197,3007,163,0.0542068506817426,1.5906275408381993,4.776581130946396e-07,0.9267035271380143,0.6000171273973773,0.11301012145748988,1.0,40.16047110783953,2.0,False
OncoKB_oncogene,5434,187,0.03441295546558704,3007,76,0.02527435982707017,1.3744620986428335,0.02191563093365894,0.9416845667386359,0.7775312192831723,0.007235369893264631,0.0,40.16047110783953,2.0,False
OncoKB_TSG,5434,177,0.03257269046742731,3007,49,0.016295310941137345,2.0325319399207276,5.667221696082538e-06,1.1048038752766431,0.6812534428303063,0.10368733897681266,1.0,40.16047110783953,2.0,False
