celltype	strategy	contrast	n_tested	n_sig	frac_sig
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	fisher	IVprimary_vs_Normal	13377	4467	0.333931
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	fisher	Met_vs_Normal	12299	1124	0.091390
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M1	nb_multi	omnibus	156	156	1.000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	fisher	IVprimary_vs_Met	9284	4756	0.512279
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	fisher	IVprimary_vs_Normal	18661	8211	0.440009
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	fisher	IVprimary_vs_StageI	13264	6687	0.504147
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	fisher	Met_vs_Normal	18705	8053	0.430527
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	fisher	Met_vs_StageI	13634	7169	0.525818
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	fisher	Normal_vs_StageI	18910	13154	0.695611
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2	nb_multi	omnibus	603	603	1.000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	fisher	IVprimary_vs_Normal	11465	3709	0.323506
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	fisher	IVprimary_vs_StageI	8203	3252	0.396440
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	fisher	Normal_vs_StageI	12724	5590	0.439327
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST	nb_multi	omnibus	238	238	1.000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MESENCHYAL	fisher	Met_vs_Normal	17443	5530	0.317033
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MESENCHYAL	nb_multi	omnibus	65	65	1.000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	fisher	IVprimary_vs_Met	8001	3392	0.423947
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	fisher	IVprimary_vs_Normal	18933	5364	0.283315
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	fisher	IVprimary_vs_StageI	13299	4905	0.368825
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	fisher	Met_vs_Normal	18939	7826	0.413221
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC	fisher	Met_vs_StageI	13585	6662	0.490394
