celltype	stage	rank_bucket	n_rows	mean_prop_all	n_cov	mean_prop_cov
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS	StageI	1	14911884	0.28302017	14911884	0.28302017
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS	Met	1	2138526	0.28302017	2138526	0.28302017
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	IVprimary	1	2482704	0.27295400	2482704	0.27295400
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	StageI	1	4896444	0.27295400	4896444	0.27295400
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES	Met	1	6137796	0.27295400	6137796	0.27295400
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS	IVprimary	1	2651696	0.32831969	2651696	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS	Normal	1	7505648	0.32831969	7505648	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS	StageI	1	19078728	0.32831969	19078728	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS	Met	1	2292144	0.32831969	2292144	0.32831969
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG	IVprimary	1	1947960	0.32863303	1947960	0.32863303
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG	Normal	1	35156040	0.32863303	35156040	0.32863303
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG	StageI	1	41579670	0.32863303	41579670	0.32863303
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG	Met	1	9206430	0.32863303	9206430	0.32863303
CELL_TYPES_WANSLEEBEN_HOGAN_2013_VASCULAR_ENDOTH	IVprimary	1	927600	0.32863303	927600	0.32863303
CELL_TYPES_WANSLEEBEN_HOGAN_2013_VASCULAR_ENDOTH	StageI	1	2063910	0.32863303	2063910	0.32863303
lung_epithelial_lineage_signatures_LECTIN_KRT5_B	IVprimary	1	4089904	0.32831969	4089904	0.32831969
lung_epithelial_lineage_signatures_LECTIN_KRT5_B	Normal	1	2584280	0.32831969	2584280	0.32831969
lung_epithelial_lineage_signatures_LECTIN_KRT5_B	StageI	1	2764056	0.32831969	2764056	0.32831969
lung_epithelial_lineage_signatures_MUCINOUS	IVprimary	1	2876416	0.32831969	2876416	0.32831969
lung_epithelial_lineage_signatures_MUCINOUS	Normal	1	6921376	0.32831969	6921376	0.32831969
lung_epithelial_lineage_signatures_MUCINOUS	StageI	1	16764112	0.32831969	16764112	0.32831969
lung_epithelial_lineage_signatures_MUCINOUS	Met	1	19842776	0.32831969	19842776	0.32831969
lung_epithelial_lineage_signatures_PNECS	StageI	1	1947960	0.32863303	1947960	0.32863303
lung_epithelial_lineage_signatures_PNECS	Met	1	7142520	0.32863303	7142520	0.32863303
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR	Normal	1	21370872	0.32831969	21370872	0.32831969
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR	StageI	1	20606824	0.32831969	20606824	0.32831969
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR	Met	1	5033728	0.32831969	5033728	0.32831969
