celltype	stage	n_rows	n_cells	n_genes	mean_total_reads	frac_zero_cov	mean_pdui_all	n_cov1	mean_pdui_cov1	n_cov5	mean_pdui_cov5	n_cov10	mean_pdui_cov10	n_cov20	mean_pdui_cov20
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG	StageI	7699142	1793	4294	0.066565	0.984578	0.00589533	118729	0.38228668	36168	0.42169213	405	0.46456282	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_VASCULAR_ENDOTH	IVprimary	171760	40	4294	0.114560	0.972060	0.01083388	4786	0.38831633	1251	0.43370130	24	0.45121230	0	-1.00000000
CELL_TYPES_WANSLEEBEN_HOGAN_2013_VASCULAR_ENDOTH	StageI	382166	89	4294	0.039151	0.989363	0.00395581	3859	0.38016406	912	0.40119596	9	0.42873243	0	-1.00000000
lung_epithelial_lineage_signatures_LECTIN_KRT5_B	Normal	481850	115	4190	0.173554	0.955752	0.01744178	21153	0.39526397	5131	0.41973914	139	0.45078233	0	-1.00000000
lung_epithelial_lineage_signatures_LECTIN_KRT5_B	IVprimary	762580	182	4190	0.110570	0.971726	0.01034984	21512	0.36596672	4635	0.42723873	59	0.46650167	0	-1.00000000
lung_epithelial_lineage_signatures_LECTIN_KRT5_B	StageI	515370	123	4190	0.049148	0.990355	0.00423453	4948	0.44031017	2514	0.46683539	23	0.49725836	0	-1.00000000
lung_epithelial_lineage_signatures_MUCINOUS	Normal	1290520	308	4190	0.126380	0.970138	0.01134898	38357	0.38074396	11615	0.41541159	297	0.44537379	0	-1.00000000
lung_epithelial_lineage_signatures_MUCINOUS	IVprimary	536320	128	4190	0.129793	0.964868	0.01202522	18737	0.34285648	3342	0.38248859	21	0.45424468	0	-1.00000000
lung_epithelial_lineage_signatures_MUCINOUS	Met	3699770	883	4190	0.068676	0.975873	0.00848031	85338	0.35649124	5707	0.42552554	59	0.44034801	0	-1.00000000
lung_epithelial_lineage_signatures_MUCINOUS	StageI	3125740	746	4190	0.103893	0.975347	0.00977715	76405	0.39841926	22971	0.42855144	355	0.45529917	0	-1.00000000
lung_epithelial_lineage_signatures_PNECS	Met	1322552	308	4294	0.075351	0.974973	0.00889688	31529	0.36132209	3495	0.40488013	46	0.61092841	0	-1.00000000
lung_epithelial_lineage_signatures_PNECS	StageI	360696	84	4294	0.137998	0.954025	0.01743237	15898	0.38668794	995	0.41592853	9	0.44956379	0	-1.00000000
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR	Normal	3984690	951	4190	0.077783	0.981986	0.00689205	71759	0.38268050	21875	0.41311083	230	0.45261022	0	-1.00000000
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR	Met	938560	224	4190	0.063854	0.985526	0.00554520	13573	0.38314194	4515	0.42645108	33	0.46130415	0	-1.00000000
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR	StageI	3842230	917	4190	0.075732	0.981725	0.00716246	70034	0.39217656	19278	0.43303967	157	0.45775064	0	-1.00000000
