run,strategy,n_sampled,frac_within_50_mean,frac_within_50_sd,frac_within_100_mean,frac_within_500_mean,median_distance_mean,median_distance_sd
lg_annotate,lambda_gradient,20605,0.9975675806842998,8.991855998620948e-05,0.9988066003397233,0.999517835476826,0.0,0.0
lg_ip_off,lambda_gradient (ip=off),20605,0.9975649114292647,9.60140358221727e-05,0.9988066003397233,0.9995134676049503,0.0,0.0
lg_ip_filter,lambda_gradient (ip=filter),20605,0.997379276874545,0.0,0.9987381703470032,0.9994661489929628,0.0,0.0
si_annotate,sierra_iterative,20605,0.9967359864110652,0.00026385368772759436,0.998368114535307,0.9994377578257705,0.0,0.0
lp_annotate,lambda_poisson,20605,0.9960970638194613,9.38852466538987e-05,0.9982331958262557,0.9993501577287066,0.0,0.0
