celltype,contrast,n_tests,n_sig,frac_sig
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MACROPHAGE_M2,Normal_vs_StageI,18910,13154,0.6956
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST,IVprimary_vs_Normal,11465,3709,0.3235
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST,IVprimary_vs_StageI,8203,3252,0.3964
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MAST,Normal_vs_StageI,12724,5590,0.4393
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MESENCHYAL,Met_vs_Normal,17443,5530,0.317
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC,IVprimary_vs_Met,8001,3392,0.4239
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC,IVprimary_vs_Normal,18933,5364,0.2833
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC,IVprimary_vs_StageI,13299,4905,0.3688
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC,Met_vs_Normal,18939,7826,0.4132
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC,Met_vs_StageI,13585,6662,0.4904
CELL_TYPES_WANSLEEBEN_HOGAN_2013_MONOCYTIC,Normal_vs_StageI,19084,13744,0.7202
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NE_CELLS,Met_vs_StageI,15144,5929,0.3915
CELL_TYPES_WANSLEEBEN_HOGAN_2013_NK_CELLS,Met_vs_StageI,20420,4408,0.2159
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES,IVprimary_vs_Met,12795,4988,0.3898
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES,IVprimary_vs_StageI,17832,5829,0.3269
CELL_TYPES_WANSLEEBEN_HOGAN_2013_PERICYTES,Met_vs_StageI,19771,9415,0.4762
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS,IVprimary_vs_Met,4815,1284,0.2667
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS,IVprimary_vs_Normal,16699,4539,0.2718
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS,IVprimary_vs_StageI,12800,4420,0.3453
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS,Met_vs_Normal,16435,2351,0.143
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS,Met_vs_StageI,12218,2248,0.184
CELL_TYPES_WANSLEEBEN_HOGAN_2013_SEROUS_CELLS,Normal_vs_StageI,17983,12180,0.6773
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG,IVprimary_vs_Met,7490,2768,0.3696
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG,IVprimary_vs_Normal,18002,3794,0.2108
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG,IVprimary_vs_StageI,12627,3648,0.2889
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG,Met_vs_Normal,18213,8115,0.4456
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG,Met_vs_StageI,13265,7040,0.5307
CELL_TYPES_WANSLEEBEN_HOGAN_2013_TREG,Normal_vs_StageI,18795,13842,0.7365
CELL_TYPES_WANSLEEBEN_HOGAN_2013_VASCULAR_ENDOTH,IVprimary_vs_StageI,5137,1336,0.2601
lung_epithelial_lineage_signatures_LECTIN_KRT5_B,IVprimary_vs_Normal,13882,6305,0.4542
lung_epithelial_lineage_signatures_LECTIN_KRT5_B,IVprimary_vs_StageI,6576,2400,0.365
lung_epithelial_lineage_signatures_LECTIN_KRT5_B,Normal_vs_StageI,13139,3129,0.2381
lung_epithelial_lineage_signatures_MUCINOUS,IVprimary_vs_Met,10578,5302,0.5012
lung_epithelial_lineage_signatures_MUCINOUS,IVprimary_vs_Normal,15119,6474,0.4282
lung_epithelial_lineage_signatures_MUCINOUS,IVprimary_vs_StageI,14131,6509,0.4606
lung_epithelial_lineage_signatures_MUCINOUS,Met_vs_Normal,15994,9633,0.6023
lung_epithelial_lineage_signatures_MUCINOUS,Met_vs_StageI,14924,9856,0.6604
lung_epithelial_lineage_signatures_MUCINOUS,Normal_vs_StageI,17292,11492,0.6646
lung_epithelial_lineage_signatures_PNECS,Met_vs_StageI,9767,3979,0.4074
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR,Met_vs_Normal,14062,5831,0.4147
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR,Met_vs_StageI,12413,5592,0.4505
stem_cell_signatures_merged_NK_CELL_SPECIFIC_MAR,Normal_vs_StageI,16112,10995,0.6824
